TARİH,KURŞUNSUZ BENZİN (TL/LT),GAZ YAĞI (TL/LT),TP MOTORİN (TL/LT),MOTORİN (TL/LT),KALORİFER YAKITI (TL/KG),FUEL OIL (TL/KG),Y.K. FUEL OIL (TL/KG),TPGAZ
28 Ekim 2021,8.61,9.47,8.39,8.36,8.58,7.57,6.58,6.17
02 Kasım 2021,8.61,9.47,8.39,8.36,8.43,7.43,6.40,6.67
24 Kasım 2021,8.81,10.01,8.89,8.86,9.30,8.29,7.03,7.58
30 Kasım 2021,9.87,10.01,9.98,9.95,9.28,8.37,6.97,8.23
02 Aralık 2021,9.29,10.69,9.54,9.51,9.89,8.89,7.48,8.23
07 Aralık 2021,9.73,11.31,9.54,9.51,9.89,8.89,7.48,8.23
09 Aralık 2021,10.50,11.75,10.51,10.48,10.83,9.71,8.09,8.23
24 Aralık 2021,11.79,10.97,11.69,11.65,9.84,8.70,7.47,8.94
28 Aralık 2021,11.79,10.43,11.64,11.60,9.25,8.16,7.10,8.27
19 Ocak 2022,13.75,13.47,14.45,14.41,11.51,10.18,8.79,9.33
21 Ocak 2022,14.24,13.47,14.51,14.47,12.17,10.73,9.38,9.33
10 Şubat 2022,15.41,14.44,15.66,15.62,13.01,11.52,9.76,9.72
23 Şubat 2022,15.37,14.44,15.71,15.67,13.01,11.52,9.76,9.72
01 Mart 2022,16.75,14.44,16.29,16.25,13.46,11.90,9.92,10.06
05 Mart 2022,18.90,18.04,20.01,19.97,16.38,14.24,11.68,10.66
09 Mart 2022,20.54,20.49,23.04,23.00,18.45,15.62,13.00,10.66
10 Mart 2022,20.58,22.53,23.06,23.03,19.89,16.50,13.79,10.66
25 Mart 2022,19.91,21.77,23.84,23.81,18.51,15.25,13.44,11.12
31 Mart 2022,19.91,19.48,21.41,21.38,16.68,13.85,12.42,11.12
20 Nisan 2022,19.23,20.66,22.23,22.21,16.09,13.15,11.43,11.75
30 Nisan 2022,20.56,20.66,22.28,22.24,16.09,13.15,11.43,11.75
11 Mayıs 2022,21.34,22.65,22.28,22.24,16.65,13.22,12.05,10.77
24 Mayıs 2022,23.07,21.54,22.31,22.27,17.63,14.64,13.12,11.13
27 Mayıs 2022,24.49,21.54,23.69,23.65,17.63,14.64,13.12,11.49
31 Mayıs 2022,25.24,23.22,24.68,24.64,18.76,15.16,13.64,11.49
15 Haziran 2022,27.68,27.49,28.11,28.07,20.87,16.34,13.29,12.16
17 Haziran 2022,27.74,27.49,30.22,30.17,21.49,16.37,13.47,12.16
23 Haziran 2022,27.48,27.49,30.22,30.17,20.64,15.56,12.70,12.16
09 Temmuz 2022,25.41,22.64,25.70,25.63,18.34,14.15,12.18,10.40
14 Temmuz 2022,23.88,22.64,25.70,25.63,18.34,14.15,12.18,10.71
19 Temmuz 2022,22.92,22.64,25.70,25.63,17.95,13.58,11.18,10.71
26 Temmuz 2022,22.96,22.64,24.75,24.71,18.49,14.73,11.90,10.71
10 Ağustos 2022,20.28,20.79,22.65,22.60,18.24,15.21,11.97,11.21
13 Ağustos 2022,21.39,21.43,23.46,23.41,18.04,15.15,11.23,11.21
18 Ağustos 2022,20.56,22.75,24.23,24.18,18.04,15.15,11.23,11.21
03 Eylül 2022,18.86,22.80,24.73,24.68,17.93,14.50,9.46,11.21
07 Eylül 2022,19.47,23.41,26.24,26.19,18.51,15.01,9.70,10.81
15 Eylül 2022,19.47,23.41,25.10,25.05,17.92,14.44,8.60,10.81
28 Eylül 2022,19.51,21.32,23.40,23.35,16.72,13.88,7.67,10.81
07 Ekim 2022,20.89,21.32,27.43,27.38,19.21,14.83,10.83,10.06
15 Ekim 2022,20.91,23.68,27.71,27.65,18.67,14.09,10.21,10.06
22 Ekim 2022,20.93,22.26,26.67,26.61,18.67,14.09,10.21,10.06
08 Kasım 2022,22.98,22.26,26.67,26.62,18.93,14.54,11.08,10.56
19 Kasım 2022,21.46,22.69,25.11,25.06,17.73,13.84,10.82,10.65
29 Kasım 2022,20.48,21.44,23.38,23.32,16.24,12.33,9.91,10.65
09 Aralık 2022,18.48,19.28,21.44,21.39,14.86,11.70,9.77,10.65
10 Aralık 2022,17.73,19.28,21.44,21.39,14.86,11.70,9.77,10.65
20 Aralık 2022,18.27,20.31,22.39,22.34,15.74,11.94,9.76,10.70
01 Ocak 2023,19.84,20.32,22.45,22.40,16.01,12.57,10.29,10.75
13 Ocak 2023,20.08,20.43,22.58,22.53,15.00,11.79,9.27,10.75
21 Ocak 2023,20.79,21.90,23.70,23.65,16.25,12.50,9.92,10.75
24 Ocak 2023,20.84,21.90,23.74,23.69,16.25,12.50,9.92,10.75
02 Şubat 2023,21.56,21.81,23.01,22.96,16.35,12.61,9.92,10.75
07 Şubat 2023,21.64,19.47,21.78,21.73,15.22,12.55,9.24,11.90
18 Şubat 2023,21.51,19.65,22.00,21.95,15.67,13.10,9.91,11.90
04 Mart 2023,21.19,19.46,22.42,22.36,15.31,12.58,10.19,11.90
08 Mart 2023,21.19,19.46,22.42,22.36,15.98,13.08,10.92,11.90
15 Mart 2023,21.35,18.72,21.86,21.81,15.51,12.47,11.55,11.97
25 Mart 2023,21.41,17.33,21.45,21.40,14.70,11.63,10.74,11.97
06 Nisan 2023,23.30,18.01,21.38,21.33,15.88,13.17,12.21,10.41
26 Nisan 2023,22.08,17.48,20.65,20.60,15.88,13.17,12.21,10.51
06 Mayıs 2023,20.11,15.94,18.86,18.81,14.16,12.14,10.94,10.56
09 Mayıs 2023,20.54,16.64,19.53,19.48,14.60,12.52,11.43,10.56
25 Mayıs 2023,21.42,16.64,20.30,20.25,15.16,12.92,11.80,10.56
09 Haziran 2023,24.78,19.75,23.03,22.98,17.55,14.88,13.13,10.48
22 Haziran 2023,24.97,20.96,24.96,24.91,18.40,15.69,13.54,10.68
10 Temmuz 2023,27.67,22.93,26.41,26.36,20.56,17.55,17.01,10.84
16 Temmuz 2023,35.04,27.61,33.53,33.48,22.35,18.98,18.26,13.95
01 Ağustos 2023,37.06,30.38,37.58,37.53,26.07,22.40,19.67,14.19
02 Ağustos 2023,37.06,30.38,37.58,37.53,27.42,23.68,20.68,16.22
04 Ağustos 2023,37.14,32.80,37.66,37.62,27.42,23.68,20.68,16.22
11 Ağustos 2023,37.16,32.80,39.48,39.44,27.42,23.68,20.68,16.22
16 Ağustos 2023,38.71,32.80,39.48,39.44,28.73,24.79,21.61,16.22
18 Ağustos 2023,38.82,32.80,38.04,38.00,28.73,24.79,21.61,16.22
22 Ağustos 2023,38.82,32.80,39.04,39.00,27.93,24.02,21.01,16.22
01 Eylül 2023,37.88,32.80,39.10,39.06,27.20,23.36,20.20,16.22
05 Eylül 2023,37.99,32.80,39.17,39.13,27.20,23.36,20.20,17.53
08 Eylül 2023,38.02,32.80,39.20,39.16,28.54,24.27,21.85,17.53
14 Eylül 2023,39.66,34.96,41.23,41.19,28.54,24.27,21.85,17.53
16 Eylül 2023,39.71,34.96,41.28,41.24,29.86,24.89,23.18,17.53
20 Aralık 2023,35.86,30.03,36.87,36.83,26.28,23.06,17.96,18.46
22 Aralık 2023,35.87,32.44,38.53,38.49,27.29,23.75,19.28,18.46
01 Ocak 2024,35.88,32.46,38.54,38.50,27.15,23.76,18.65,18.46
05 Ocak 2024,38.23,33.65,40.50,40.46,27.40,24.01,18.89,19.48
09 Ocak 2024,38.24,32.63,40.51,40.47,27.40,24.01,18.89,19.58
13 Ocak 2024,38.24,32.63,40.51,40.47,27.40,24.01,18.89,19.68
18 Ocak 2024,38.24,34.20,40.52,40.48,28.30,24.96,19.72,20.04
24 Ocak 2024,39.74,35.29,41.71,41.66,28.06,24.02,19.83,20.04
30 Ocak 2024,39.74,35.29,43.14,43.09,28.06,24.02,19.83,20.04
01 Şubat 2024,40.69,35.29,43.14,43.09,29.27,24.81,20.98,20.04
06 Şubat 2024,40.75,35.29,43.19,43.14,27.85,23.27,20.72,20.04
09 Şubat 2024,40.79,35.29,43.26,43.21,28.78,23.64,21.75,20.34
14 Ocak 2011,3.96,2.81,-,3.29,2.08,-,1.77,-
29 Ocak 2011,3.96,2.81,-,3.36,2.08,-,1.82,-
17 Şubat 2011,3.96,2.86,-,3.42,2.16,-,1.94,-
08 Mart 2011,4.17,3.06,-,3.62,2.37,-,2.02,-
16 Mart 2011,4.17,3.01,-,3.62,2.37,-,2.08,-
19 Nisan 2011,4.22,3.01,-,3.58,2.37,-,2.13,-
03 Mayıs 2011,4.31,3.01,-,3.58,2.37,-,2.11,-
11 Mayıs 2011,4.21,2.92,-,3.49,2.27,-,2.04,-
29 Haziran 2011,4.18,3.01,-,3.51,2.33,-,2.14,-
05 Temmuz 2011,4.18,2.98,-,3.51,2.36,-,2.17,-
11 Ağustos 2011,4.35,3.09,-,3.66,2.44,-,2.28,-
20 Ağustos 2011,4.35,3.18,-,3.73,2.48,-,2.31,-
18 Ekim 2011,4.35,3.18,-,3.85,2.59,-,2.45,-
02 Kasım 2011,4.28,3.19,-,3.77,2.50,-,3.37,-
10 Aralık 2011,4.24,3.29,-,3.84,2.62,2.31,3.27,-
16 Aralık 2011,4.24,3.24,-,3.77,2.62,2.31,3.27,-
11 Ocak 2012,4.38,3.32,-,3.85,2.87,2.48,2.36,-
21 Ocak 2012,4.38,3.32,-,3.77,2.83,2.43,2.35,-
15 Mart 2012,4.57,3.33,-,3.99,2.95,2.64,2.29,-
21 Mart 2012,4.65,3.33,-,3.99,3.00,2.67,2.36,-
03 Mayıs 2012,4.51,3.33,-,3.94,2.90,2.58,2.25,-
09 Mayıs 2012,4.38,3.20,-,3.80,2.80,2.49,2.14,-
26 Mayıs 2012,4.36,3.20,-,3.79,2.82,2.50,2.20,-
22 Haziran 2012,4.24,3.03,-,3.64,2.71,2.39,2.10,-
27 Haziran 2012,4.21,3.03,-,3.64,2.62,2.28,1.98,-
31 Temmuz 2012,4.33,3.21,-,3.80,2.86,2.52,2.14,-
11 Ağustos 2012,4.51,3.21,-,3.80,2.91,2.63,2.26,-
06 Eylül 2012,4.61,3.36,-,3.94,2.77,2.76,2.36,-
22 Eylül 2012,4.76,3.57,-,4.29,2.66,2.63,2.30,-
24 Ekim 2012,4.70,3.48,-,4.29,2.64,2.58,2.29,-
01 Kasım 2012,4.63,3.48,-,4.18,2.60,2.56,2.23,-
24 Kasım 2012,4.63,3.48,-,4.16,2.54,2.50,2.20,-
22 Aralık 2012,4.69,3.40,-,4.08,2.54,2.50,2.20,-
05 Ocak 2013,4.71,3.40,-,4.13,2.54,2.50,2.20,-
06 Şubat 2013,4.88,3.46,-,4.20,2.62,2.58,2.25,-
26 Şubat 2013,4.88,3.54,-,4.20,2.65,2.59,2.28,-
10 Nisan 2013,4.64,3.38,-,4.06,2.51,2.47,2.20,-
18 Nisan 2013,4.57,3.23,4.05,3.97,4.05,2.20,2.36,-
22 Mayıs 2013,4.73,3.33,4.12,4.04,2.53,2.52,2.22,-
05 Haziran 2013,4.73,3.33,4.19,4.11,2.54,2.61,2.28,-
16 Temmuz 2013,4.84,3.57,4.35,4.27,2.62,2.69,2.41,-
01 Ağustos 2013,4.86,3.57,4.35,4.27,2.62,2.69,2.41,-
29 Ağustos 2013,4.93,3.64,4.39,4.31,2.74,2.80,2.48,-
04 Eylül 2013,4.95,3.76,4.56,4.48,2.74,2.80,2.48,-
01 Ekim 2013,4.86,3.56,4.41,4.33,2.69,2.76,2.45,-
11 Ekim 2013,4.79,3.56,4.41,4.33,2.62,2.68,2.39,-
14 Aralık 2013,4.89,3.64,4.50,4.42,2.72,2.80,2.44,-
25 Aralık 2013,4.94,3.64,4.50,4.42,2.72,2.80,2.44,-
25 Ocak 2014,5.07,3.91,4.59,4.51,2.81,2.91,2.57,-
29 Ocak 2014,5.07,3.91,4.71,4.63,2.95,2.99,2.69,-
26 Mart 2014,5.08,3.81,4.41,4.41,2.93,3.06,2.63,-
03 Nisan 2014,5.01,3.70,4.33,4.33,2.93,3.06,2.63,-
09 Nisan 2014,4.98,3.70,4.27,4.27,2.85,2.98,2.57,-
19 Nisan 2014,5.06,3.70,4.34,4.34,2.85,2.98,2.57,-
03 Mayıs 2014,4.98,3.70,4.27,4.27,2.81,2.91,2.55,-
14 Mayıs 2014,4.92,3.70,4.25,4.25,2.81,2.91,2.55,-
22 Mayıs 2014,5.02,3.70,4.45,4.40,2.79,2.90,2.53,-
28 Mayıs 2014,5.00,3.69,4.35,4.35,2.94,2.93,2.51,-
09 Temmuz 2014,5.10,3.76,4.39,4.38,2.95,2.89,2.54,-
18 Temmuz 2014,5.02,3.66,4.39,4.38,2.90,2.82,2.52,-
13 Eylül 2014,4.90,3.66,4.32,4.30,2.90,2.82,2.52,-
14 Ekim 2014,4.90,3.60,4.23,4.21,2.79,2.71,2.41,-
31 Ekim 2014,4.72,3.50,4.16,4.14,2.66,2.59,2.31,-
19 Kasım 2014,4.59,3.36,4.06,4.04,2.52,2.44,2.14,-
02 Aralık 2014,4.44,3.23,3.89,3.87,2.38,2.34,2.05,-
10 Aralık 2014,4.37,3.17,3.89,3.87,2.33,2.31,2.00,-
01 Ocak 2015,4.24,3.09,3.74,3.72,2.19,2.18,1.89,-
07 Ocak 2015,4.13,3.09,3.65,3.63,2.12,2.11,1.83,-
13 Ocak 2015,4.13,2.88,3.57,3.55,2.04,2.05,1.75,-
16 Ocak 2015,4.05,2.82,3.51,3.49,1.99,2.01,1.71,-
31 Ocak 2015,4.17,2.88,3.61,3.59,2.10,2.12,1.80,-
05 Şubat 2015,4.30,3.10,3.76,3.74,2.21,2.19,1.93,-
11 Şubat 2015,4.41,3.22,3.92,3.90,2.33,2.30,2.03,-
17 Şubat 2015,4.43,3.22,3.92,3.90,2.37,2.33,2.06,-
19 Mart 2015,4.39,3.16,3.75,3.75,2.20,2.32,2.07,-
31 Mart 2015,4.49,3.28,3.75,3.75,2.27,2.35,2.14,-
03 Nisan 2015,4.42,3.28,3.79,3.79,2.21,2.29,2.09,-
17 Nisan 2015,4.60,3.33,3.93,3.93,2.37,2.43,2.24,-
21 Mayıs 2015,4.71,3.28,4.07,4.05,2.40,2.34,2.14,-
26 Mayıs 2015,4.66,3.32,4.03,4.01,2.40,2.34,2.14,-
13 Haziran 2015,4.88,3.32,4.03,4.01,2.45,2.38,2.20,-
11 Temmuz 2015,4.76,3.16,3.87,3.85,2.33,2.31,2.12,-
23 Temmuz 2015,4.65,3.16,3.88,3.86,2.29,2.28,2.10,-
06 Ağustos 2015,4.56,3.10,3.88,3.86,2.22,2.22,2.01,-
20 Ağustos 2015,4.56,3.10,3.86,3.84,2.20,2.17,1.99,-
03 Eylül 2015,4.49,3.24,3.91,3.89,2.24,2.19,2.03,-
17 Eylül 2015,4.45,3.29,3.94,3.92,2.23,2.17,2.02,-
22 Eylül 2015,4.51,3.29,3.94,3.92,2.21,2.15,2.00,-
08 Ekim 2015,4.51,3.24,3.94,3.92,2.30,2.27,2.08,-
20 Ekim 2015,4.37,3.24,3.82,3.80,2.18,2.18,1.98,-
28 Ekim 2015,4.37,3.13,3.79,3.77,2.17,2.17,1.96,-
14 Kasım 2015,4.38,3.13,3.79,3.77,2.10,2.11,1.85,-
25 Kasım 2015,4.29,3.07,3.73,3.71,2.09,2.09,1.86,-
16 Aralık 2015,4.29,2.89,3.54,3.52,1.91,2.00,1.72,-
22 Aralık 2015,4.29,2.89,3.54,3.52,1.91,1.95,1.70,-
01 Ocak 2016,4.29,2.89,3.54,3.52,1.90,1.94,1.70,-
13 Ocak 2016,4.29,2.78,3.46,3.44,1.82,1.88,1.64,-
22 Ocak 2016,4.22,2.63,3.31,3.29,1.76,1.82,1.61,-
30 Ocak 2016,4.22,2.81,3.41,3.39,1.87,1.95,1.75,-
05 Şubat 2016,4.22,2.81,3.47,3.45,1.87,1.95,1.75,-
10 Şubat 2016,4.09,2.81,3.47,3.45,1.83,1.90,1.71,-
23 Şubat 2016,4.05,2.76,3.47,3.45,1.83,1.89,1.68,-
27 Şubat 2016,4.09,2.76,3.47,3.45,1.81,1.87,1.67,-
04 Mart 2016,4.14,2.83,3.54,3.52,1.85,1.90,1.70,-
11 Mart 2016,4.29,2.89,3.62,3.60,1.95,1.99,1.78,-
26 Mart 2016,4.33,2.92,3.62,3.60,1.88,1.92,1.72,2.00
06 Nisan 2016,4.33,2.79,3.54,3.52,1.77,1.84,1.66,2.00
09 Nisan 2016,4.30,2.80,3.51,3.49,1.79,1.87,1.70,2.00
15 Nisan 2016,4.43,2.88,3.65,3.63,1.88,1.95,1.77,2.00
13 Mayıs 2016,4.42,2.96,3.83,3.81,2.12,2.06,1.97,2.00
18 Mayıs 2016,4.58,3.14,3.83,3.81,2.12,2.06,1.97,2.00
28 Mayıs 2016,4.58,3.17,3.90,3.88,2.21,2.07,2.00,2.00
11 Haziran 2016,4.49,3.17,3.90,3.88,2.28,2.14,2.01,2.00
28 Haziran 2016,4.50,3.12,3.90,3.88,2.25,2.10,2.00,2.00
09 Temmuz 2016,4.33,3.12,3.82,3.80,2.28,2.15,2.04,2.00
23 Temmuz 2016,4.39,3.05,3.82,3.80,2.27,2.19,2.09,2.00
29 Temmuz 2016,4.39,3.03,3.82,3.80,2.22,2.18,2.03,2.00
16 Ağustos 2016,4.39,3.03,3.80,3.78,2.22,2.18,2.02,2.00
19 Ağustos 2016,4.47,3.11,3.87,3.85,2.25,2.22,2.04,2.00
06 Eylül 2016,4.47,3.11,3.87,3.85,2.26,2.24,2.07,2.00
17 Eylül 2016,4.72,3.36,4.11,4.09,2.26,2.24,2.07,2.00
07 Ekim 2016,4.87,3.53,4.23,4.21,2.42,2.39,2.14,2.00
18 Ekim 2016,4.87,3.53,4.30,4.28,2.51,2.48,2.23,2.00
05 Kasım 2016,4.79,3.46,4.21,4.19,2.39,2.36,2.17,2.00
18 Kasım 2016,4.79,3.46,4.25,4.23,2.39,2.36,2.17,2.00
13 Aralık 2016,5.10,3.89,4.52,4.50,2.76,2.63,2.51,2.00
31 Aralık 2016,5.20,3.89,4.65,4.63,2.80,2.71,2.60,2.00
07 Ocak 2017,5.20,4.05,4.65,4.63,2.95,2.90,2.74,3.00
13 Ocak 2017,5.30,4.05,4.65,4.63,3.09,3.02,2.85,3.00
24 Şubat 2017,5.27,4.19,4.74,4.72,2.91,2.80,2.73,3.00
15 Mart 2017,5.19,4.08,4.67,4.65,2.75,2.66,2.57,3.00
25 Mart 2017,5.19,4.03,4.52,4.50,2.65,2.56,2.47,3.00
27 Nisan 2017,5.27,3.98,4.60,4.58,2.73,2.53,2.42,2.00
05 Mayıs 2017,5.12,3.64,4.49,4.47,2.62,2.37,2.24,2.00
23 Mayıs 2017,5.17,3.74,4.65,4.63,2.67,2.40,2.31,2.00
02 Haziran 2017,5.14,3.67,4.52,4.50,2.59,2.33,2.22,2.00
06 Temmuz 2017,5.13,3.69,4.55,4.53,2.58,2.32,2.26,2.00
01 Ağustos 2017,5.23,3.79,4.67,4.65,2.62,2.32,2.28,2.00
06 Eylül 2017,5.32,3.79,4.68,4.66,2.62,2.32,2.28,3.00
03 Ekim 2017,5.32,3.99,4.87,4.85,2.81,2.47,2.40,3.00
31 Ekim 2017,5.54,4.25,5.04,5.02,3.04,2.68,2.63,3.00
08 Kasım 2017,5.54,4.25,5.04,5.02,3.20,2.85,2.77,3.00
11 Kasım 2017,5.67,4.40,5.17,5.15,3.20,2.85,2.77,3.00
23 Kasım 2017,5.60,4.40,5.17,5.15,3.17,2.81,2.75,3.00
06 Ocak 2018,5.63,4.40,5.25,5.22,3.17,2.81,2.70,3.00
16 Ocak 2018,5.71,4.50,5.28,5.25,3.21,2.85,2.73,3.00
09 Şubat 2018,5.68,4.50,5.28,5.25,3.21,2.85,2.73,3.00
24 Şubat 2018,5.58,4.51,5.24,5.21,3.11,2.74,2.67,3.30
09 Mart 2018,5.69,4.51,5.24,5.21,3.11,2.74,2.67,3.23
23 Mart 2018,5.85,4.66,5.42,5.39,3.25,2.86,2.77,3.29
27 Mart 2018,5.97,4.66,5.42,5.39,3.25,2.86,2.77,3.29
28 Mart 2018,5.97,4.78,5.42,5.39,3.25,2.86,2.77,3.29
29 Mart 2018,5.97,4.78,5.42,5.39,3.24,2.81,2.73,3.29
22 Mayıs 2018,6.28,5.57,5.82,5.79,4.00,3.50,3.43,3.52
25 Mayıs 2018,6.28,5.89,5.82,5.79,4.30,3.76,3.68,3.52
26 Mayıs 2018,6.28,5.89,5.82,5.79,4.18,3.64,3.56,3.52
10 Ağustos 2018,6.28,5.88,5.82,5.79,4.42,3.88,3.82,3.52
14 Ağustos 2018,6.28,6.46,5.82,5.79,4.94,4.31,4.26,3.52
15 Ağustos 2018,6.28,7.10,5.82,5.79,5.61,4.88,4.81,3.52
08 Eylül 2018,7.00,7.03,6.42,6.39,5.47,4.72,4.61,3.86
13 Eylül 2018,7.00,6.86,6.42,6.39,5.34,4.62,4.55,3.86
18 Eylül 2018,6.99,6.53,6.42,6.39,5.03,4.36,4.27,3.86
20 Kasım 2018,6.52,5.95,6.51,6.48,4.49,3.94,3.83,3.86
22 Kasım 2018,6.52,5.67,6.51,6.48,4.29,3.78,3.67,3.86
23 Kasım 2018,6.52,5.67,6.38,6.35,4.29,3.78,3.67,3.86
24 Kasım 2018,6.40,5.67,6.43,6.39,4.29,3.78,3.67,3.86
04 Ocak 2019,5.98,5.12,5.84,5.80,3.61,3.16,3.00,3.59
08 Ocak 2019,5.98,5.12,5.84,5.80,3.85,3.41,3.23,3.59
09 Ocak 2019,5.99,5.29,6.02,5.98,3.85,3.41,3.23,3.59
19 Şubat 2019,6.47,5.32,6.22,6.18,4.15,3.72,3.57,3.73
20 Şubat 2019,6.47,5.55,6.22,6.18,4.32,3.85,3.70,3.73
26 Şubat 2019,6.64,5.55,6.50,6.46,4.32,3.85,3.70,3.73
27 Şubat 2019,6.52,5.55,6.50,6.46,4.32,3.85,3.70,3.73
23 Nisan 2019,7.16,5.88,6.59,6.55,4.63,4.07,3.99,3.90
25 Nisan 2019,7.16,6.09,6.59,6.55,4.63,4.07,3.99,3.90
30 Nisan 2019,7.16,6.09,6.59,6.55,4.69,4.14,4.04,3.90
04 Haziran 2019,7.07,5.98,6.62,6.58,4.73,4.21,3.89,3.79
08 Haziran 2019,6.89,5.52,6.41,6.37,4.35,3.98,3.56,3.79
13 Haziran 2019,6.93,5.52,6.45,6.41,4.35,3.98,3.56,3.79
18 Haziran 2019,6.93,5.52,6.45,6.41,4.34,3.88,3.55,3.79
18 Temmuz 2019,7.25,5.84,6.71,6.67,4.50,4.10,3.75,3.61
20 Temmuz 2019,7.13,5.84,6.71,6.67,4.28,3.82,3.58,3.61
23 Temmuz 2019,7.13,5.84,6.58,6.54,4.28,3.82,3.58,3.61
27 Ağustos 2019,6.90,5.65,6.52,6.48,4.21,3.76,3.12,3.45
03 Eylül 2019,6.90,5.65,6.52,6.48,4.09,3.56,3.05,3.45
04 Eylül 2019,6.90,5.65,6.52,6.48,3.98,3.44,2.90,3.45
04 Ekim 2019,7.00,5.85,6.64,6.60,4.25,3.85,3.05,3.75
05 Ekim 2019,7.00,5.60,6.64,6.60,4.25,3.85,3.05,3.75
10 Ekim 2019,7.00,5.71,6.64,6.60,4.25,3.85,3.05,3.75
12 Ekim 2019,7.00,5.71,6.64,6.60,4.33,3.90,2.92,3.75
19 Kasım 2019,7.03,5.71,6.74,6.70,4.32,3.96,2.59,3.91
20 Kasım 2019,7.03,5.71,6.74,6.70,4.21,3.86,2.50,3.91
26 Kasım 2019,7.03,5.71,6.68,6.64,4.21,3.86,2.50,3.91
06 Aralık 2019,7.03,5.71,6.68,6.64,4.30,3.98,2.50,3.96
07 Aralık 2019,7.03,5.71,6.68,6.64,4.41,4.11,2.62,3.96
10 Aralık 2019,7.03,5.71,6.68,6.64,4.45,4.15,2.69,3.96
17 Ocak 2020,7.24,5.80,6.79,6.75,4.73,4.53,3.09,3.96
18 Ocak 2020,7.24,5.80,6.79,6.75,4.77,4.60,3.16,3.96
25 Ocak 2020,7.24,5.80,6.79,6.75,4.58,4.36,3.22,3.96
01 Şubat 2020,6.91,5.49,6.58,6.54,4.44,4.25,3.08,3.96
04 Şubat 2020,6.91,5.49,6.58,6.54,4.36,4.16,3.03,3.96
05 Şubat 2020,6.91,5.49,6.58,6.54,4.21,3.99,2.98,3.96
06 Şubat 2020,6.91,5.49,6.58,6.54,4.23,3.97,3.08,3.96
07 Şubat 2020,6.91,5.42,6.58,6.54,4.33,4.06,3.11,3.96
08 Şubat 2020,6.91,5.42,6.58,6.54,4.30,4.04,3.03,3.96
18 Şubat 2020,6.91,5.42,6.58,6.54,4.38,4.07,3.22,3.96
25 Şubat 2020,7.08,5.42,6.58,6.54,4.38,4.07,3.22,3.96
26 Şubat 2020,6.98,5.42,6.58,6.54,4.38,4.07,3.22,3.96
27 Şubat 2020,6.98,5.42,6.58,6.54,4.15,3.80,3.12,3.96
30 Nisan 2020,5.24,3.06,5.02,4.98,2.46,2.26,1.79,3.16
05 Mayıs 2020,5.50,3.21,5.22,5.18,2.67,2.45,1.96,3.41
15 Mayıs 2020,5.64,3.42,5.43,5.39,2.91,2.62,2.21,3.41
19 Mayıs 2020,5.86,3.71,5.62,5.58,3.04,2.75,2.47,3.41
28 Mayıs 2020,6.06,4.11,5.74,5.70,3.18,2.88,2.47,3.41
09 Haziran 2020,6.23,4.33,5.86,5.82,3.53,3.21,2.93,3.61
18 Haziran 2020,6.23,4.33,5.86,5.82,3.52,3.16,2.89,3.61
23 Haziran 2020,6.50,4.60,6.13,6.10,3.72,3.37,3.10,3.61
09 Temmuz 2020,6.48,4.52,6.16,6.13,3.76,3.39,3.10,3.93
29 Temmuz 2020,6.48,4.58,6.16,6.13,3.82,3.42,3.20,3.93
12 Ağustos 2020,6.71,4.73,6.31,6.28,3.94,3.57,3.29,3.93
04 Eylül 2020,6.77,4.62,6.31,6.28,4.07,3.72,3.41,4.09
08 Eylül 2020,6.77,4.48,6.11,6.08,3.84,3.54,3.29,4.09
12 Eylül 2020,6.77,4.48,5.93,5.90,3.71,3.41,3.17,4.09
01 Ekim 2020,6.95,4.74,6.11,6.08,4.06,3.72,3.39,4.09
03 Ekim 2020,6.80,4.74,6.11,6.08,4.06,3.72,3.39,4.09
07 Ekim 2020,6.80,4.78,6.11,6.08,4.13,3.84,3.32,4.09
12 Kasım 2020,7.09,5.10,6.52,6.49,4.44,4.10,3.68,4.09
19 Kasım 2020,6.77,5.10,6.52,6.49,4.30,3.99,3.51,4.09
25 Kasım 2020,6.77,5.10,6.50,6.47,4.46,4.13,3.70,4.09
29 Aralık 2020,7.33,5.62,6.77,6.74,4.81,4.23,3.80,4.09
06 Ocak 2021,7.30,5.62,6.81,6.78,4.81,4.23,3.81,4.09
28 Ocak 2021,7.37,5.70,6.81,6.78,4.99,4.44,4.04,4.09
09 Şubat 2021,7.39,5.70,6.87,6.84,5.13,4.66,3.99,4.09
11 Şubat 2021,7.39,5.85,6.87,6.84,5.13,4.66,3.99,4.09
09 Mart 2021,7.41,6.28,6.87,6.84,5.99,5.50,4.68,4.09
13 Mart 2021,7.41,6.52,6.87,6.84,5.82,5.26,4.64,4.09
23 Mart 2021,7.27,6.09,6.65,6.63,5.43,4.90,4.31,4.09
25 Mart 2021,7.27,6.28,6.65,6.63,5.63,5.09,4.42,4.09
17 Nisan 2021,7.27,6.72,6.65,6.63,5.87,5.30,4.61,4.09
04 Mayıs 2021,7.27,6.87,6.65,6.63,6.05,5.46,4.83,4.09
12 Mayıs 2021,7.27,7.14,6.65,6.63,6.22,5.54,4.88,4.09
06 Temmuz 2021,7.95,7.68,7.46,7.43,7.04,6.29,5.52,4.83
25 Ağustos 2021,7.95,7.38,7.48,7.45,6.48,5.74,5.08,5.09
10 Eylül 2021,7.95,7.57,7.48,7.45,6.85,6.17,5.33,5.09
